filename,threshold,co_detect,ref_spots,targ_spots
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,200,0.0,852,41
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s3r_AL_objs.csv,200,0.231481481481,432,387
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p3s3r_AL_objs.csv,200,0.066889632107,1495,250
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p3s4r_AL_objs.csv,200,0.601684717208,831,493
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s4r_AL_objs.csv,200,0.0,194,495
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s5r_AL_objs.csv,200,0.0,497,542
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p1s4r_AL_objs.csv,200,0.292568753657,1709,1466
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s3l_0001_AL_objs.csv,200,0.0,15,2
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p5s4l_AL_objs.csv,200,0.189035916824,1058,411
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p5s3l_AL_objs.csv,200,0.119904076739,834,346
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s3l_AL_objs.csv,200,0.0,15,2
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s4l_AL_objs.csv,200,0.0,1165,439
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p5s5l_AL_objs.csv,200,0.168918918919,592,309
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p3s3l_AL_objs.csv,200,0.0,1113,216
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4l_AL_objs.csv,200,0.348837209302,860,236
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p1s3l_AL_objs.csv,200,0.255754475703,2737,1338
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p1s2l_AL_objs.csv,200,0.0,1710,45
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,2000,2.58215962441,852,41
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s3r_AL_objs.csv,2000,12.037037037,432,387
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p3s3r_AL_objs.csv,2000,9.09698996656,1495,250
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p3s4r_AL_objs.csv,2000,25.5114320096,831,493
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s4r_AL_objs.csv,2000,12.3711340206,194,495
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s5r_AL_objs.csv,2000,17.7062374245,497,542
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p1s4r_AL_objs.csv,2000,37.6243417203,1709,1466
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s3l_0001_AL_objs.csv,2000,6.66666666667,15,2
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p5s4l_AL_objs.csv,2000,14.1776937618,1058,411
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p5s3l_AL_objs.csv,2000,14.1486810552,834,346
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s3l_AL_objs.csv,2000,6.66666666667,15,2
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p2s4l_AL_objs.csv,2000,21.5450643777,1165,439
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p5s5l_AL_objs.csv,2000,7.43243243243,592,309
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p3s3l_AL_objs.csv,2000,14.1958670261,1113,216
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4l_AL_objs.csv,2000,10.4651162791,860,236
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p1s3l_AL_objs.csv,2000,18.9989039094,2737,1338
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p1s2l_AL_objs.csv,2000,0.818713450292,1710,45
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s4r_AL_objs.csv,20000,44.014084507,852,41
20190621_eIF4eGFP_msp670_syp568_HRP_viol_stim_p4s3r_AL_objs.csv,20000,86.3425925926,432,387
